Numer okręgu,Siedziba OKW,Numer listy,Nazwa,Typ,Numer na liście,Nazwisko,Imiona,Płeć,Zawód,Miejscowość zamieszkania,Kod TERYT,Gmina miejsca zamieszkania,Przynależność do partii,Poparcie,Liczba głosów,Procent głosów oddanych na listę,Procent głosów oddanych w okręgu,Czy przyznano mandat
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,1,MENTZEN,Sławomir Jerzy,Mężczyzna,doradca podatkowy,Toruń,046301,m. Toruń,nie należy do partii politycznej,,16718,"50,37","2,02",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,2,URBANIAK,Michał Piotr,Mężczyzna,przedsiębiorca,Mosty,221105,gm. Kosakowo,członek partii politycznej: Ruch Narodowy,,5170,"15,58","0,62",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,3,PRUŚ,Sylwester Zbigniew,Mężczyzna,fizyk,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,2840,"8,56","0,34",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,4,BREWIAK,Grażyna,Kobieta,inżynier środowiska,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,904,"2,72","0,11",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,5,STUPKIEWICZ,Magdalena,Kobieta,przedsiębiorca,Stegna,221004,gm. Stegna,nie należy do partii politycznej,,930,"2,80","0,11",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,6,LIPINSKA-BEHRENDT,Martyna Elżbieta,Kobieta,handlowiec,Chojnice,220201,m. Chojnice,członek partii politycznej: Ruch Narodowy,,553,"1,67","0,07",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,7,ŚWIECZKOWSKA,Iwona Gabriela,Kobieta,opiekunka w żłobku,Somonino,220505,gm. Somonino,nie należy do partii politycznej,,751,"2,26","0,09",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,8,KRZYWKOWSKI,Marcin Piotr,Mężczyzna,naukowiec,Tczew,221401,m. Tczew,nie należy do partii politycznej,,1033,"3,11","0,12",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,9,DRANIEWICZ,Karol Łukasz,Mężczyzna,przedsiębiorca,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,520,"1,57","0,06",Nie
1,Gdańsk,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,10,DZIAMBOR,Artur Erwin,Mężczyzna,nauczyciel języka angielskiego,Gdynia,226201,m. Gdynia,nie należy do partii politycznej,,3769,"11,36","0,46",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,1,MACIEJEWSKA,Beata Monika,Kobieta,edukatorka,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Wiosna Roberta Biedronia,,23999,"47,18","2,90",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,2,RUTKA,Marek Andrzej,Mężczyzna,nauczyciel akademicki,Gdynia,226201,m. Gdynia,członek partii politycznej: Wiosna Roberta Biedronia,,3927,"7,72","0,47",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,3,BIEDROŃ,Adriana Maria,Kobieta,nauczyciel akademicki,Słupsk,226301,m. Słupsk,nie należy do partii politycznej,,13316,"26,18","1,61",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,4,JAROSZ,Maciej,Mężczyzna,przedsiębiorca,Borkowo,220404,gm. Pruszcz Gdański,nie należy do partii politycznej,,1596,"3,14","0,19",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,5,GRACZYK,Ewa Elżbieta,Kobieta,nauczyciel akademicki,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,2118,"4,16","0,26",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,6,JASIONEK,Henryk Jacek,Mężczyzna,prawnik,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,844,"1,66","0,10",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,7,OCHOCKA,Iwona,Kobieta,nauczyciel,Knybawa,221406,gm. Tczew,nie należy do partii politycznej,,2046,"4,02","0,25",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,8,BYLICA,Bartosz,Mężczyzna,marketingowiec,Rotmanka,220404,gm. Pruszcz Gdański,nie należy do partii politycznej,,560,"1,10","0,07",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,9,SZUBIŃSKA,Bożena Leokadia,Kobieta,żołnierz,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Ruch Odrodzenia Gospodarczego im. Edwarda Gierka,,926,"1,82","0,11",Nie
1,Gdańsk,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,10,LAMENTOWICZ,Wojciech,Mężczyzna,prawnik,Rumia,221502,m. Rumia,nie należy do partii politycznej,,1530,"3,01","0,18",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,1,LEWANDOWSKI,Janusz Antoni,Mężczyzna,ekonomista,Sopot,226401,m. Sopot,członek partii politycznej: Platforma Obywatelska RP,,120990,"28,86","14,62",Tak
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,2,ADAMOWICZ,Magdalena,Kobieta,nauczyciel akademicki,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,Platforma Obywatelska RP,199591,"47,61","24,12",Tak
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,3,TRAWICKI,Krzysztof Gabriel,Mężczyzna,lekarz weterynarii,Bytonia,221313,gm. Zblewo,członek partii politycznej: Polskie Stronnictwo Ludowe,,5679,"1,35","0,69",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,4,JACHLEWSKA,Elżbieta,Kobieta,ekonomistka,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Inicjatywa Feministyczna,,2257,"0,54","0,27",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,5,FURGO,Grzegorz Witold,Mężczyzna,polityk,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Platforma Obywatelska RP,,1715,"0,41","0,21",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,6,LIEDER,Ewa,Kobieta,ekonomistka,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Nowoczesna,,2726,"0,65","0,33",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,7,POPOWSKA,Magdalena Maria,Kobieta,nauczyciel akademicki,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,Partia Zieloni,2384,"0,57","0,29",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,8,PIETRZAK,Anna Grażyna,Kobieta,ekonomista,Dębnica Kaszubska,221203,gm. Dębnica Kaszubska,członek partii politycznej: Platforma Obywatelska RP,,1588,"0,38","0,19",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,9,KALINOWSKA,Jolanta Maria,Kobieta,politolog,Karczemki,221509,gm. Szemud,członek partii politycznej: Socjaldemokracja Polska,,1346,"0,32","0,16",Nie
1,Gdańsk,3,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI,Koalicyjny komitet wyborczy,10,WAŁĘSA,Jarosław Leszek,Mężczyzna,politolog,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Platforma Obywatelska RP,,80906,"19,30","9,78",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,1,FOTYGA,Anna Elżbieta,Kobieta,ekonomistka,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Prawo i Sprawiedliwość,,160517,"56,18","19,40",Tak
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,2,SELLIN,Jarosław Daniel,Mężczyzna,urzędnik państwowy,Warszawa,146516,Wilanów,członek partii politycznej: Prawo i Sprawiedliwość,,77374,"27,08","9,35",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,3,SIKORA,Danuta Teresa,Kobieta,ekonomistka,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Prawo i Sprawiedliwość,,11921,"4,17","1,44",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,4,MÜLLER,Piotr Józef,Mężczyzna,prawnik,Słupsk,226301,m. Słupsk,członek partii politycznej: Prawo i Sprawiedliwość,,10573,"3,70","1,28",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,5,SZYMAŃSKI,Antoni,Mężczyzna,kurator sądowy,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,7819,"2,74","0,94",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,6,KURZELEWSKA,Arleta,Kobieta,radca prawny,Człuchów,220301,m. Człuchów,nie należy do partii politycznej,,3367,"1,18","0,41",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,7,BIAŁOOKA-KOSTENECKA,Danuta Jadwiga,Kobieta,prawnik,Gdynia,226201,m. Gdynia,członek partii politycznej: Prawo i Sprawiedliwość,,1895,"0,66","0,23",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,8,RABENDA,Karol Kazimierz,Mężczyzna,historyk,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Porozumienie Jarosława Gowina,,2321,"0,81","0,28",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,9,DEMSKI,Patryk Jerzy,Mężczyzna,menedżer,Pelplin,221404,gm. Pelplin,członek partii politycznej: Prawo i Sprawiedliwość,,3997,"1,40","0,48",Nie
1,Gdańsk,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,10,ŁUCZYK,Mariusz Wojciech,Mężczyzna,urzędnik państwowy,Miastko,220106,gm. Miastko,członek partii politycznej: Prawo i Sprawiedliwość,,5956,"2,08","0,72",Nie
1,Gdańsk,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,1,GÓRSKA,Anna,Kobieta,specjalista do spraw stosunków międzynarodowych,Straszyn,220404,gm. Pruszcz Gdański,członek partii politycznej: Partia Razem,,4160,"52,35","0,50",Nie
1,Gdańsk,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,2,KOWALCZUK,Łukasz,Mężczyzna,psycholog,Gdynia,226201,m. Gdynia,członek partii politycznej: Partia Razem,,676,"8,51","0,08",Nie
1,Gdańsk,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,3,SOBAŃSKA,Joanna Małgorzata,Kobieta,biotechnolog,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Ruch Sprawiedliwości Społecznej,,720,"9,06","0,09",Nie
1,Gdańsk,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,4,BONIECKI,Łukasz Michał,Mężczyzna,programista aplikacji,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Partia Razem,,418,"5,26","0,05",Nie
1,Gdańsk,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,5,HASKA,Karolina,Kobieta,przedsiębiorca,Wejherowo,221503,m. Wejherowo,członek partii politycznej: Partia Razem,,508,"6,39","0,06",Nie
1,Gdańsk,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,6,SZCZEPAŃSKI,Adam Aleksander,Mężczyzna,wyższy urzędnik samorządowy,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Partia Razem,,400,"5,03","0,05",Nie
1,Gdańsk,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,7,PRUSSAK,Sara Maria,Kobieta,specjalista do spraw ochrony środowiska,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Partia Razem,,242,"3,05","0,03",Nie
1,Gdańsk,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,8,ANDRZEJEWSKI,Szymon Tomasz,Mężczyzna,politolog,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Partia Razem,,233,"2,93","0,03",Nie
1,Gdańsk,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,9,PRUSINOWSKA,Magdalena,Kobieta,nauczyciel języka obcego,Możdżanowo,221210,gm. Ustka,członek partii politycznej: Partia Razem,,260,"3,27","0,03",Nie
1,Gdańsk,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,10,LUBIEWSKI,Adam Marek,Mężczyzna,inspektor ochrony danych,Kębłowo,221507,gm. Luzino,członek partii politycznej: Partia Razem,,329,"4,14","0,04",Nie
1,Gdańsk,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,1,KOBYLARZ,Andrzej Sławomir,Mężczyzna,parlamentarzysta,Domachowo,220408,gm. Trąbki Wielkie,nie należy do partii politycznej,,8285,"37,46","1,00",Nie
1,Gdańsk,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,2,BŁASZCZYK,Anna,Kobieta,księgowa,Gdynia,226201,m. Gdynia,nie należy do partii politycznej,,4036,"18,25","0,49",Nie
1,Gdańsk,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,3,LUTY,Jerzy,Mężczyzna,rolnik,Sołtyski,220705,gm. Ryjewo,nie należy do partii politycznej,,1378,"6,23","0,17",Nie
1,Gdańsk,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,4,DUDEK,Dorota,Kobieta,europeistka,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,2478,"11,21","0,30",Nie
1,Gdańsk,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,5,POMIRSKA,Zofia Małgorzata,Kobieta,nauczyciel akademicki,Gdańsk,226101,m. Gdańsk,członek partii politycznej: Prawica Rzeczypospolitej,,997,"4,51","0,12",Nie
1,Gdańsk,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,6,RODZIEWICZ-KLAWIŃSKA,Jolanta Ewa,Kobieta,pedagog,Malbork,220901,m. Malbork,nie należy do partii politycznej,,512,"2,32","0,06",Nie
1,Gdańsk,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,7,PIĄTKOWSKA,Andżelika Ewa,Kobieta,pracownik administracyjny,Starogard Gdański,221303,m. Starogard Gdański,nie należy do partii politycznej,,784,"3,55","0,09",Nie
1,Gdańsk,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,8,HAMADYK,Łukasz Mariusz,Mężczyzna,politolog,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,853,"3,86","0,10",Nie
1,Gdańsk,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,9,KLAWITER,Jan Andrzej,Mężczyzna,chemik,Rumia,221502,m. Rumia,członek partii politycznej: Prawica Rzeczypospolitej,,2791,"12,62","0,34",Nie
1,Gdańsk,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,1,ZBOROWSKI,Maciej,Mężczyzna,przedsiębiorca,Gdynia,226201,m. Gdynia,nie należy do partii politycznej,,3594,"42,66","0,43",Nie
1,Gdańsk,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,2,KNUTH,Maciej,Mężczyzna,dziennikarz,Starogard Gdański,221303,m. Starogard Gdański,nie należy do partii politycznej,,746,"8,85","0,09",Nie
1,Gdańsk,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,3,JANOWICZ,Kamila Marta,Kobieta,nauczyciel,Władysławowo,221104,gm. Władysławowo,nie należy do partii politycznej,,800,"9,50","0,10",Nie
1,Gdańsk,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,4,WIŚNIEWSKI,Radosław Andrzej,Mężczyzna,przedsiębiorca,Ustka,221201,m. Ustka,nie należy do partii politycznej,,433,"5,14","0,05",Nie
1,Gdańsk,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,5,PAWEŁCZAK,Barnaba Bogusz,Mężczyzna,dyrektor operacyjny,Sopot,226401,m. Sopot,nie należy do partii politycznej,,291,"3,45","0,04",Nie
1,Gdańsk,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,6,STRUK,Anna Marta,Kobieta,rzecznik prasowy,Brzyno,221106,gm. Krokowa,nie należy do partii politycznej,,804,"9,54","0,10",Nie
1,Gdańsk,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,7,WARDA,Małgorzata Maja,Kobieta,rzeźbiarka,Gdynia,226201,m. Gdynia,nie należy do partii politycznej,,572,"6,79","0,07",Nie
1,Gdańsk,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,8,MAKRENEK,Helena Cecylia,Kobieta,doradca finansowy,Gdańsk,226101,m. Gdańsk,nie należy do partii politycznej,,180,"2,14","0,02",Nie
1,Gdańsk,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,9,DOMŻALSKA,Elżbieta Maria,Kobieta,doradca finansowy,Mława,141301,m. Mława,nie należy do partii politycznej,,298,"3,54","0,04",Nie
1,Gdańsk,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,10,GRAJKOWSKI,Piotr,Mężczyzna,informatyk,Kobyłka,143401,m. Kobyłka,nie należy do partii politycznej,,707,"8,39","0,09",Nie
2,Bydgoszcz,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,1,DROZDOWSKI,Krzysztof Andrzej,Mężczyzna,technik elektronik,Bydgoszcz,046101,m. Bydgoszcz,nie należy do partii politycznej,,8910,"35,32","1,34",Nie
2,Bydgoszcz,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,2,POSŁUSZNY,Leszek Józef,Mężczyzna,prawnik,Bydgoszcz,046101,m. Bydgoszcz,nie należy do partii politycznej,,1698,"6,73","0,26",Nie
2,Bydgoszcz,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,3,HOFFMAN,Juliusz,Mężczyzna,inżynier mechanik,Włocławek,046401,m. Włocławek,członek partii politycznej: Ruch Narodowy,,1734,"6,87","0,26",Nie
2,Bydgoszcz,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,4,MENTZEN,Tomasz Jacek,Mężczyzna,programista aplikacji,Toruń,046301,m. Toruń,nie należy do partii politycznej,,3943,"15,63","0,59",Nie
2,Bydgoszcz,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,5,ADAMSKA,Anna Ewa,Kobieta,ekonomista,Bydgoszcz,046101,m. Bydgoszcz,nie należy do partii politycznej,,1065,"4,22","0,16",Nie
2,Bydgoszcz,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,6,GEISLER-GRYGROWICZ,Joanna,Kobieta,technik ekonomista,Bydgoszcz,046101,m. Bydgoszcz,członek partii politycznej: Ruch Narodowy,,304,"1,21","0,05",Nie
2,Bydgoszcz,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,7,JAWORNIK,Emilia,Kobieta,ekonomista,Inowrocław,040701,m. Inowrocław,nie należy do partii politycznej,,676,"2,68","0,10",Nie
2,Bydgoszcz,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,8,MALENDOWICZ,Anna Agnieszka,Kobieta,asystent parlamentarny,Bydgoszcz,046101,m. Bydgoszcz,nie należy do partii politycznej,,431,"1,71","0,06",Nie
2,Bydgoszcz,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,9,CZAJKOWSKI,Michał Maciej,Mężczyzna,prawnik,Włocławek,046401,m. Włocławek,nie należy do partii politycznej,,1377,"5,46","0,21",Nie
2,Bydgoszcz,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,10,SYPNIEWSKI,Marcin,Mężczyzna,prawnik,Morzewiec,040304,gm. Koronowo,nie należy do partii politycznej,,5085,"20,16","0,77",Nie
2,Bydgoszcz,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,1,NOWICKA,Wanda Hanna,Kobieta,filolog klasyczny,Warszawa,146519,Żoliborz,nie należy do partii politycznej,,21993,"55,80","3,31",Nie
2,Bydgoszcz,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,2,ANASZEWICZ,Marcin,Mężczyzna,prawnik,Słupsk,146505,Mokotów,członek partii politycznej: Wiosna Roberta Biedronia,,3569,"9,06","0,54",Nie
2,Bydgoszcz,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,3,NOWAK,Izabela Anna,Kobieta,specjalista organizacji i zarządzania w ochronie zdrowia,Bydgoszcz,301504,gm. Nowy Tomyśl,nie należy do partii politycznej,,3420,"8,68","0,52",Nie
2,Bydgoszcz,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,4,PIJANOWSKI,Marek,Mężczyzna,socjolog,Toruń,046301,m. Toruń,nie należy do partii politycznej,,1938,"4,92","0,29",Nie
2,Bydgoszcz,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,5,DŁUGOŁĘCKA,Elżbieta,Kobieta,radca prawny,Łochowo,040301,gm. Białe Błota,członek partii politycznej: Wiosna Roberta Biedronia,,1955,"4,96","0,29",Nie
2,Bydgoszcz,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,6,JAŹWIEC,Jakub Wojciech,Mężczyzna,politolog,Toruń,046301,m. Toruń,nie należy do partii politycznej,,607,"1,54","0,09",Nie
2,Bydgoszcz,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,7,LYTVYNENKO,Oksana,Kobieta,tłumacz,Toruń,046301,m. Toruń,nie należy do partii politycznej,,1243,"3,15","0,19",Nie
2,Bydgoszcz,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,8,SKAŁECKI,Damian Adam,Mężczyzna,inżynier elektronik,Bydgoszcz,041604,gm. Lubiewo,nie należy do partii politycznej,,1046,"2,65","0,16",Nie
2,Bydgoszcz,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,9,GOTLIBOWSKA,Monika Agnieszka,Kobieta,prawnik,Wielka Nieszawka,041508,gm. Wielka Nieszawka,członek partii politycznej: Wiosna Roberta Biedronia,,1339,"3,40","0,20",Nie
