Numer okręgu,Siedziba OKW,Numer listy,Nazwa,Typ,Numer na liście,Nazwisko,Imiona,Płeć,Zawód,Miejscowość zamieszkania,Kod TERYT,Gmina miejsca zamieszkania,Przynależność do partii,Poparcie,Liczba głosów,Procent głosów oddanych na listę,Procent głosów oddanych w okręgu,Czy przyznano mandat
11,Katowice,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,9,SZYDLIK,Bożena Grażyna,Kobieta,pielęgniarka,Włodowice,241609,gm. Włodowice,członek partii politycznej: Prawo i Sprawiedliwość,,8030,"1,16","0,50",Nie
11,Katowice,4,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,Komitet wyborczy partii politycznej,10,SZWED,Stanisław,Mężczyzna,parlamentarzysta,Grodziec,240205,gm. Jasienica,członek partii politycznej: Prawo i Sprawiedliwość,,37673,"5,45","2,36",Nie
11,Katowice,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,1,KONIECZNY,Maciej,Mężczyzna,zawodowy działacz organizacji pozarządowej,Gliwice,246601,m. Gliwice,członek partii politycznej: Partia Razem,,9878,"52,51","0,62",Nie
11,Katowice,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,2,IWAŃSKA,Katarzyna,Kobieta,technik ogrodnik,Zabrze,247801,m. Zabrze,członek partii politycznej: Ruch Sprawiedliwości Społecznej,,2825,"15,02","0,18",Nie
11,Katowice,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,3,SACZEK,Martin,Mężczyzna,specjalista do spraw marketingu i handlu,Częstochowa,246401,m. Częstochowa,członek partii politycznej: Partia Razem,,848,"4,51","0,05",Nie
11,Katowice,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,4,LAMEK-KOCHANOWSKA,Agnieszka Zofia,Kobieta,etnograf,Bielsko-Biała,246101,m. Bielsko-Biała,członek partii politycznej: Partia Razem,,729,"3,87","0,05",Nie
11,Katowice,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,5,SMOLIŃSKI,Zdzisław,Mężczyzna,chemik,Mikołów,240802,m. Mikołów,członek partii politycznej: Partia Razem,,714,"3,80","0,04",Nie
11,Katowice,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,6,RADECKA,Monika Kamila,Kobieta,księgowy,Częstochowa,246401,m. Częstochowa,członek partii politycznej: Partia Razem,,1128,"6,00","0,07",Nie
11,Katowice,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,7,GASPARSKA,Katarzyna Olga,Kobieta,specjalista do spraw reklamy i marketingu,Godziszka,240203,gm. Buczkowice,członek partii politycznej: Partia Razem,,471,"2,50","0,03",Nie
11,Katowice,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,8,MROZOWSKI,Konrad,Mężczyzna,elektryk budowlany,Gliwice,246601,m. Gliwice,członek partii politycznej: Partia Razem,,542,"2,88","0,03",Nie
11,Katowice,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,9,SŁANIA,Barbara Joanna,Kobieta,socjolog,Bytom,246201,m. Bytom,członek partii politycznej: Partia Razem,,905,"4,81","0,06",Nie
11,Katowice,5,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS",Koalicyjny komitet wyborczy,10,BLICHARSKI,Bogusław Zbigniew,Mężczyzna,ekonomista,Sosnowiec,247501,m. Sosnowiec,członek partii politycznej: Ruch Sprawiedliwości Społecznej,,773,"4,11","0,05",Nie
11,Katowice,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,1,DŁUGI,Grzegorz Karol,Mężczyzna,prawnik,Katowice,246901,m. Katowice,nie należy do partii politycznej,,27175,"44,69","1,70",Nie
11,Katowice,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,2,SITARSKI,Krzysztof Serafin,Mężczyzna,inżynier górnik,Radlin,241502,m. Radlin,nie należy do partii politycznej,,5256,"8,64","0,33",Nie
11,Katowice,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,3,JACHNIK,Jerzy Witold,Mężczyzna,inżynier metalurg,Bielsko-Biała,246101,m. Bielsko-Biała,nie należy do partii politycznej,,4077,"6,70","0,25",Nie
11,Katowice,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,4,JELONEK,Aleksandra Elżbieta,Kobieta,bibliotekarz,Chorzów,246301,m. Chorzów,członek partii politycznej: Ślonzoki Razem,,5454,"8,97","0,34",Nie
11,Katowice,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,5,HIERO-CICHOŃ,Agata,Kobieta,specjalista ds. reklamy i marketingu,Częstochowa,246401,m. Częstochowa,nie należy do partii politycznej,,2134,"3,51","0,13",Nie
11,Katowice,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,6,KARWOT,Anna Zofia,Kobieta,prawnik,Chudów,240503,gm. Gierałtowice,nie należy do partii politycznej,,2802,"4,61","0,18",Nie
11,Katowice,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,7,KUMOR,Monika Aleksandra,Kobieta,prawnik,Koziegłowy,240902,gm. Koziegłowy,nie należy do partii politycznej,,2255,"3,71","0,14",Nie
11,Katowice,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,8,WILK,Artur,Mężczyzna,inżynier elektroenergetyk,Jaworzno,246801,m. Jaworzno,nie należy do partii politycznej,,4760,"7,83","0,30",Nie
11,Katowice,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,9,BURYN,Jadwiga Agata,Kobieta,nauczyciel języka obcego,Rybnik,247301,m. Rybnik,nie należy do partii politycznej,,1164,"1,91","0,07",Nie
11,Katowice,6,KOMITET WYBORCZY WYBORCÓW KUKIZ'15,Komitet wyborczy wyborców,10,JASKÓŁA,Tomasz Janusz,Mężczyzna,parlamentarzysta,Częstochowa,246401,m. Częstochowa,nie należy do partii politycznej,,5735,"9,43","0,36",Nie
11,Katowice,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,1,ŁĘŻAK,Dominik Adam,Mężczyzna,nauczyciel akademicki,Sosnowiec,247501,m. Sosnowiec,nie należy do partii politycznej,,5672,"32,20","0,35",Nie
11,Katowice,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,2,MILAS,Jolanta Elżbieta,Kobieta,ekonomista,Katowice,246901,m. Katowice,nie należy do partii politycznej,,1811,"10,28","0,11",Nie
11,Katowice,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,3,WIŚNIEWSKA,Anna Elżbieta,Kobieta,student,Katowice,246901,m. Katowice,nie należy do partii politycznej,,2568,"14,58","0,16",Nie
11,Katowice,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,4,PALKA,Dominik Franciszek,Mężczyzna,adwokat,Myszków,240901,m. Myszków,nie należy do partii politycznej,,1306,"7,41","0,08",Nie
11,Katowice,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,5,SWACZYNA,Grażyna Gabriela,Kobieta,ekonomista,Ruda Śląska,247201,m. Ruda Śląska,nie należy do partii politycznej,Ślonzoki Razem,978,"5,55","0,06",Nie
11,Katowice,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,6,URBAŃCZYK,Maciej Krzysztof,Mężczyzna,geolog,Śrubarnia,241606,gm. Ogrodzieniec,nie należy do partii politycznej,,991,"5,63","0,06",Nie
11,Katowice,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,7,CURRAN,Justyna,Kobieta,ekonomista,Częstochowa,246401,m. Częstochowa,nie należy do partii politycznej,,960,"5,45","0,06",Nie
11,Katowice,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,8,SIERPIŃSKI,Jacek Zbigniew,Mężczyzna,informatyk,Będzin,240101,m. Będzin,nie należy do partii politycznej,,742,"4,21","0,05",Nie
11,Katowice,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,9,BARTECKA-MEYER,Gabriela Małgorzata,Kobieta,inżynier chemik,Łaziska Górne,240801,m. Łaziska Górne,nie należy do partii politycznej,,686,"3,89","0,04",Nie
11,Katowice,7,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI,Komitet wyborczy wyborców,10,MARANDA,Marcin,Mężczyzna,nauczyciel historii,Częstochowa,246401,m. Częstochowa,nie należy do partii politycznej,,1903,"10,80","0,12",Nie
12,Wrocław,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,1,IWASZKIEWICZ,Robert Jarosław,Mężczyzna,inżynier budownictwa,Wrocław,026401,m. Wrocław,nie należy do partii politycznej,,15983,"24,51","1,22",Nie
12,Wrocław,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,2,ŻUREK,Piotr Grzegorz,Mężczyzna,kierowca,Wrocław,026401,m. Wrocław,członek partii politycznej: Ruch Narodowy,,2881,"4,42","0,22",Nie
12,Wrocław,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,3,POPLICHA,Dagmara Ewa,Kobieta,lekarz medycyny,Opole,166101,m. Opole,nie należy do partii politycznej,,1214,"1,86","0,09",Nie
12,Wrocław,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,4,SZKARUPSKI,Daniel,Mężczyzna,pracownik obsługi klienta,Opole,166101,m. Opole,członek partii politycznej: Ruch Narodowy,,1329,"2,04","0,10",Nie
12,Wrocław,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,5,CZERNIAK,Hubert Stanisław,Mężczyzna,lekarz medycyny,Petrykozy,100701,gm. Białaczów,nie należy do partii politycznej,,13559,"20,79","1,04",Nie
12,Wrocław,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,6,GIELERT,Katarzyna Zofia,Kobieta,architekt,Jelenia Góra,026101,m. Jelenia Góra,nie należy do partii politycznej,,948,"1,45","0,07",Nie
12,Wrocław,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,7,JARMUŁOWICZ,Lidia Maria,Kobieta,prawnik,Wrocław,026401,m. Wrocław,nie należy do partii politycznej,,786,"1,21","0,06",Nie
12,Wrocław,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,8,BIELECKA,Halszka Beata,Kobieta,filolog rosyjski,Wrocław,026401,m. Wrocław,członek partii politycznej: Partia Kierowców,,1267,"1,94","0,10",Nie
12,Wrocław,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,9,DASZYŃSKA-HERCUŃ,Anna Maria,Kobieta,nauczyciel,Dzierżoniów,020202,m. Dzierżoniów,nie należy do partii politycznej,,816,"1,25","0,06",Nie
12,Wrocław,1,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,Komitet wyborczy wyborców,10,KORWIN-MIKKE,Janusz Ryszard,Mężczyzna,publicysta,Otwock,141702,m. Otwock,nie należy do partii politycznej,,26425,"40,52","2,02",Nie
